route_id,service_id,trip_id,trip_headsign,shape_id,block_id
7,1724,2165043:547345:558846,Cataraqui Centre,1418,558846
701,1701,2167563:547346:558857,Express - Cataraqui Centre via Brock/Bath,1377,558857
13,1708,2168651:547347:558829,Cataraqui North,1441,558829
701,1708,2168765:547348:558858,Express - Cataraqui Centre via Brock/Bath,1377,558858
4,1712,2164981:547352:551977,Cataraqui Centre via Princess St,1499,551977
31,1723,2164552:547353:551971,Providence Care Hospital,1737,551971
31,1724,2164552:547353:558778,Providence Care Hospital,1737,558778
7,1708,2169204:547354:553142,Cataraqui Centre,1603,553142
701,1723,2165416:547360:553165,Express - Cataraqui Centre via Brock/Bath,1377,553165
701,1724,2165416:547360:558781,Express - Cataraqui Centre via Brock/Bath,1377,558781
501,1701,2166427:547362:549341,Express - Downtown via Princess St,1117,549341
22,1701,2167185:547363:552096,Innovation / Highway 15,1727,552096
602,1723,2165791:547364:552097,A - Express - Innovation / Highway 15,1574,552097
602,1724,2165791:547364:558912,A - Express - Innovation / Highway 15,1574,558912
702,1708,2168986:547367:558853,Express - King's Crossing via Division,1584,558853
7B,1723,2165369:547368:553084,Bus Terminal,1384,553084
7B,1724,2165369:547368:558770,Bus Terminal,1384,558770
701,1723,2165395:547371:553122,Express - Cataraqui Centre via Brock/Bath,1377,553122
701,1724,2165395:547371:558929,Express - Cataraqui Centre via Brock/Bath,1377,558929
4,1708,2168552:547373:549316,Downtown via Princess St,1170,549316
701,1701,2166702:547374:558867,Express - Cataraqui Centre via Downtown,1610,558867
501,1712,2164901:547377:549151,Express - Downtown via Princess St,993,549151
501,1708,2168064:547378:549167,Express - Downtown via Princess St,1117,549167
601,1708,2168910:547379:549099,Express - Queen's/KGH via CFB Kingston,1358,549099
19A,1723,2164407:547380:549320,Cataraqui Centre,1191,549320
19A,1724,2164407:547380:558840,Cataraqui Centre,1191,558840
502,1723,2164906:547381:553111,Express - Cataraqui Centre via Princess,1501,553111
502,1724,2164906:547381:558897,Express - Cataraqui Centre via Princess,1501,558897
701,1708,2169068:547386:558859,Express - Cataraqui Centre via Downtown,1610,558859
11,1723,2164810:547387:553137,Cataraqui Centre,1728,553137
11,1724,2164810:547387:558921,Cataraqui Centre,1728,558921
702,1701,2166758:547388:558883,Express - King's Crossing via Division,1584,558883
502,1708,2168092:547389:549278,Express - Downtown via Bayridge/Front,1516,549278
602,1712,2165812:547391:549141,A - Express - Innovation / Highway 15,1574,549141
502,1723,2164899:547392:553169,Express - Downtown via Bayridge/Front,1516,553169
502,1724,2164899:547392:558787,Express - Downtown via Bayridge/Front,1516,558787
19,1708,2168407:547393:549131,Woodhaven,826,549131
